Bit (from LSB),Decimal,Hex,reach_q_b,node_q_b
0,1,1,sig0_qual_suspect,
1,2,2,classification_qual_suspect,classification_qual_suspect
2,4,4,geolocation_qual_suspect,geolocation_qual_suspect
3,8,8,water_fraction_suspect,water_fraction_suspect
4,16,10,blocking_width_suspect,
5,32,20,,
6,64,40,,
7,128,80,bright_land,bright_land
8,256,100,,
9,512,200,few_sig0_observations,
10,1024,400,few_area_observations,few_area_observations
11,2048,800,few_wse_observations,few_wse_observations
12,4096,1000,,
13,8192,2000,far_range_suspect,far_range_suspect
14,16384,4000,near_range_suspect,near_range_suspect
15,32768,8000,partially_observed,
16,65536,10000,,
17,131072,20000,,
18,262144,40000,classification_qual_degraded,classification_qual_degraded
19,524288,80000,geolocation_qual_degraded,geolocation_qual_degraded
20,1048576,100000,,
21,2097152,200000,,
22,4194304,400000,lake_flagged,lake_flagged
23,8388608,800000,wse_outlier,
24,16777216,1000000,wse_bad,
25,33554432,2000000,below_min_fit_points,no_sig0_observations
26,67108864,4000000,no_area_observations,no_area_observations
27,134217728,8000000,no_wse_observations,no_wse_observations
28,268435456,10000000,no_pixels,no_pixels
