agency_cd	site_no	datetime	61181_00065_00003	61181_00065_00003_cd
USGS	07374525	2008-10-29	7.62	A
USGS	07374525	2008-10-30	7.67	A
USGS	07374525	2008-10-31	7.77	A
USGS	07374525	2008-11-01	7.73	A
USGS	07374525	2008-11-02	8.07	A
USGS	07374525	2008-11-03	8.03	A
USGS	07374525	2008-11-04	8.12	A
USGS	07374525	2008-11-05	8.09	A
USGS	07374525	2008-11-06	8.17	A
USGS	07374525	2008-11-07	8.17	A
USGS	07374525	2008-11-08	8.17	A
USGS	07374525	2008-11-09	8.12	A
USGS	07374525	2008-11-10	8.15	A
USGS	07374525	2008-11-11	8.30	A
USGS	07374525	2008-11-12	8.40	A
USGS	07374525	2008-11-13	8.31	A
USGS	07374525	2008-11-14	8.43	A
USGS	07374525	2008-11-15	7.98	A
USGS	07374525	2008-11-16	7.68	A
USGS	07374525	2008-11-17	7.49	A
USGS	07374525	2008-11-18	7.58	A
USGS	07374525	2008-11-19	7.52	A
USGS	07374525	2008-11-20	7.58	A
USGS	07374525	2008-11-21	7.70	A
USGS	07374525	2008-11-22	7.79	A
USGS	07374525	2008-11-23	7.68	A
USGS	07374525	2008-11-24	7.96	A
USGS	07374525	2008-11-25	7.68	A
USGS	07374525	2008-11-26	7.74	A
USGS	07374525	2008-11-27	7.70	A
USGS	07374525	2008-11-28	7.77	A
USGS	07374525	2008-11-29	7.95	A
USGS	07374525	2008-11-30	8.06	A
USGS	07374525	2008-12-01	7.56	A
USGS	07374525	2008-12-02	7.04	A
USGS	07374525	2008-12-03	7.32	A
USGS	07374525	2008-12-04	7.44	A
USGS	07374525	2008-12-05	7.63	A
USGS	07374525	2008-12-06	7.60	A
USGS	07374525	2008-12-07	7.38	A
USGS	07374525	2008-12-08	7.63	A
USGS	07374525	2008-12-09	8.15	A
USGS	07374525	2008-12-10	8.10	A
USGS	07374525	2008-12-11	7.70	A
USGS	07374525	2008-12-12	7.61	A
USGS	07374525	2008-12-13	7.96	A
USGS	07374525	2008-12-14	8.44	A
USGS	07374525	2008-12-15	8.45	A
USGS	07374525	2008-12-16	8.36	A
USGS	07374525	2008-12-17	8.35	A
USGS	07374525	2008-12-18	8.31	A
USGS	07374525	2008-12-19	8.32	A
USGS	07374525	2008-12-20	8.36	A
USGS	07374525	2008-12-21	8.50	A
USGS	07374525	2008-12-22	8.76	A
USGS	07374525	2008-12-23	9.07	A
USGS	07374525	2008-12-24	9.45	A
USGS	07374525	2008-12-25	9.32	A
USGS	07374525	2008-12-26	9.39	A
USGS	07374525	2008-12-27	9.53	A
USGS	07374525	2008-12-28	9.47	A
USGS	07374525	2008-12-29	9.51	A
USGS	07374525	2008-12-30	9.65	A
USGS	07374525	2008-12-31	9.80	A
USGS	07374525	2009-01-01	10.11	A
USGS	07374525	2009-01-02	10.37	A
USGS	07374525	2009-01-03	10.62	A
USGS	07374525	2009-01-04	10.90	A
USGS	07374525	2009-01-05	11.18	A
USGS	07374525	2009-01-06	11.66	A
USGS	07374525	2009-01-07	11.89	A
USGS	07374525	2009-01-08	12.26	A
USGS	07374525	2009-01-09	12.60	A
USGS	07374525	2009-01-10	12.92	A
USGS	07374525	2009-01-11	12.89	A
USGS	07374525	2009-01-12	12.96	A
USGS	07374525	2009-01-13	12.69	A
USGS	07374525	2009-01-14	12.44	A
USGS	07374525	2009-01-15	12.16	A
USGS	07374525	2009-01-16	12.03	A
USGS	07374525	2009-01-17	11.92	A
USGS	07374525	2009-01-18	11.90	A
